Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Tkl_vs_Drib,Att_vs_Drib,Tkl%_vs_Drib,Past_vs_Drib,Press,Press_Succ,Press_Succ_%,Press_Def_3rd,Press_Mid_3rd,Press_Att_3rd,Blocks,Shot_Blocks,SoT_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Name_no_spec_chars
Ismael Aaneba,FRA,FWDF,Strasbourg,Ligue 1,21.0,1999.0,0.1,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,Ismael Aaneba
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,29.0,1990.0,19.7,33.0,19,21.0,11.0,1.0,15.0,42.0,35.7,27.0,206.0,69.0,33.5,130.0,56.0,20.0,31.0,7.0,1.0,24.0,34,67.0,40.0,1.0,Patrick van Aanholt
Issah Abbas,GHA,DFFW,Mainz 05,Bundesliga,21.0,1998.0,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Issah Abbas
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32.0,1987.0,32.1,71.0,45,51.0,20.0,0.0,15.0,37.0,40.5,22.0,379.0,146.0,38.5,252.0,110.0,17.0,51.0,20.0,2.0,31.0,56,127.0,170.0,0.0,Yunis Abdelhamid
Sabit Abdulai,GHA,MF,Getafe,La Liga,21.0,1999.0,0.7,1.0,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,16.0,4.0,25.0,5.0,8.0,3.0,0.0,0.0,0.0,0.0,1,2.0,1.0,0.0,Sabit Abdulai
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27.0,1992.0,14.7,37.0,24,16.0,18.0,3.0,11.0,25.0,44.0,14.0,245.0,85.0,34.7,75.0,133.0,37.0,18.0,2.0,0.0,16.0,23,60.0,14.0,1.0,Mehdi Abeid
Laurent Abergel,FRA,MF,Lorient,Ligue 1,27.0,1993.0,32.9,160.0,108,65.0,79.0,16.0,52.0,178.0,29.2,126.0,958.0,269.0,28.1,323.0,539.0,96.0,51.0,6.0,1.0,45.0,46,206.0,13.0,0.0,Laurent Abergel
Charles Abi,FRA,FWMF,Saint-Étienne,Ligue 1,20.0,2000.0,10.1,7.0,4,6.0,1.0,0.0,5.0,14.0,35.7,9.0,224.0,57.0,25.4,24.0,106.0,94.0,7.0,1.0,0.0,6.0,7,14.0,6.0,0.0,Charles Abi
Matthis Abline,FRA,FW,Rennes,Ligue 1,17.0,2003.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matthis Abline
Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,24.0,1995.0,14.0,22.0,11,16.0,6.0,0.0,9.0,17.0,52.9,8.0,107.0,45.0,42.1,73.0,29.0,5.0,16.0,5.0,0.0,11.0,32,54.0,142.0,2.0,Pape Abou Cisse
