Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,Corner_In,Corner_Out,Corner_Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Name_no_spec_chars
Ismael Aaneba,FRA,FWDF,Strasbourg,Ligue 1,21.0,1999.0,0.1,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Ismael Aaneba
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,29.0,1990.0,19.7,1127.0,932.0,195.0,36.0,2.0,112.0,20.0,34,2.0,0.0,2.0,0.0,717.0,219.0,191.0,743.0,194.0,25.0,157.0,3.0,889.0,12.0,22.0,29.0,34.0,Patrick van Aanholt
Issah Abbas,GHA,DFFW,Mainz 05,Bundesliga,21.0,1998.0,0.2,15.0,12.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,0.0,12.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,Issah Abbas
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32.0,1987.0,32.1,1715.0,1656.0,59.0,59.0,0.0,168.0,39.0,0,0.0,0.0,0.0,0.0,1365.0,124.0,226.0,1135.0,475.0,57.0,0.0,3.0,1506.0,4.0,26.0,24.0,13.0,Yunis Abdelhamid
Sabit Abdulai,GHA,MF,Getafe,La Liga,21.0,1999.0,0.7,12.0,12.0,0.0,0.0,0.0,7.0,1.0,1,0.0,0.0,0.0,0.0,8.0,0.0,4.0,1.0,10.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,1.0,Sabit Abdulai
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27.0,1992.0,14.7,725.0,676.0,49.0,32.0,1.0,83.0,33.0,21,14.0,7.0,4.0,3.0,544.0,70.0,111.0,100.0,589.0,19.0,3.0,4.0,616.0,5.0,15.0,10.0,7.0,Mehdi Abeid
Laurent Abergel,FRA,MF,Lorient,Ligue 1,27.0,1993.0,32.9,1592.0,1546.0,46.0,37.0,2.0,318.0,53.0,18,1.0,1.0,0.0,0.0,1174.0,198.0,220.0,137.0,1391.0,45.0,7.0,5.0,1330.0,5.0,28.0,50.0,28.0,Laurent Abergel
Charles Abi,FRA,FWMF,Saint-Étienne,Ligue 1,20.0,2000.0,10.1,214.0,199.0,15.0,0.0,1.0,77.0,2.0,4,0.0,0.0,0.0,0.0,140.0,33.0,41.0,142.0,26.0,16.0,0.0,3.0,144.0,0.0,7.0,1.0,14.0,Charles Abi
Matthis Abline,FRA,FW,Rennes,Ligue 1,17.0,2003.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Matthis Abline
Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,24.0,1995.0,14.0,624.0,598.0,26.0,24.0,0.0,67.0,43.0,1,0.0,0.0,0.0,0.0,424.0,51.0,149.0,191.0,387.0,30.0,2.0,0.0,505.0,0.0,15.0,5.0,3.0,Pape Abou Cisse
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,34.0,1986.0,13.6,689.0,632.0,57.0,17.0,1.0,75.0,23.0,8,0.0,0.0,0.0,0.0,433.0,93.0,163.0,68.0,500.0,54.0,40.0,1.0,564.0,3.0,7.0,5.0,10.0,David Abraham
Tammy Abraham,ENG,FW,Chelsea,Premier League,22.0,1997.0,11.6,218.0,208.0,10.0,2.0,0.0,77.0,1.0,4,0.0,0.0,0.0,0.0,136.0,54.0,28.0,17.0,147.0,18.0,0.0,12.0,149.0,0.0,4.0,3.0,13.0,Tammy Abraham
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,30.0,1990.0,0.7,22.0,22.0,0.0,0.0,0.0,9.0,0.0,0,0.0,0.0,0.0,0.0,19.0,2.0,1.0,1.0,20.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,Amir Abrashi
Gennaro Acampora,ITA,MFFW,Spezia,Serie A,26.0,1994.0,4.9,225.0,221.0,4.0,3.0,0.0,35.0,7.0,7,1.0,0.0,0.0,0.0,177.0,17.0,31.0,198.0,20.0,6.0,0.0,1.0,189.0,2.0,6.0,5.0,3.0,Gennaro Acampora
Francesco Acerbi,ITA,DF,Lazio,Serie A,32.0,1988.0,31.3,2035.0,1927.0,108.0,54.0,1.0,183.0,73.0,26,0.0,0.0,0.0,0.0,1467.0,208.0,360.0,1538.0,339.0,93.0,24.0,4.0,1804.0,4.0,27.0,15.0,15.0,Francesco Acerbi
Ragnar Ache,GER,FWDF,Eint Frankfurt,Bundesliga,22.0,1998.0,1.1,35.0,35.0,0.0,0.0,0.0,16.0,0.0,0,0.0,0.0,0.0,0.0,15.0,11.0,9.0,3.0,16.0,4.0,0.0,0.0,19.0,0.0,0.0,1.0,4.0,Ragnar Ache
