Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Touches_Live,Drib_Succ,Drib_Att,Drib_Succ%,Drib_Past,Megs,Carries,TotDist,PrgDist,Prog_Carries,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_Rec,Name_no_spec_chars
Ismael Aaneba,FRA,FWDF,Strasbourg,Ligue 1,21.0,1999.0,0.1,4.0,2.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,,0.0,0.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,0.0,Ismael Aaneba
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,29.0,1990.0,19.7,1323.0,72.0,405.0,643.0,344.0,38.0,1126.0,9.0,21.0,42.9,9.0,0.0,733.0,3522.0,1907.0,114.0,30.0,9.0,13.0,16.0,835.0,775.0,92.8,46.0,Patrick van Aanholt
Issah Abbas,GHA,DFFW,Mainz 05,Bundesliga,21.0,1998.0,0.2,18.0,0.0,5.0,6.0,8.0,1.0,15.0,1.0,2.0,50.0,2.0,0.0,11.0,47.0,40.0,2.0,1.0,0.0,0.0,1.0,12.0,11.0,91.7,2.0,Issah Abbas
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32.0,1987.0,32.1,2085.0,279.0,1203.0,986.0,41.0,21.0,2030.0,12.0,20.0,60.0,13.0,1.0,1339.0,7561.0,4188.0,58.0,8.0,1.0,8.0,15.0,1407.0,1365.0,97.0,7.0,Yunis Abdelhamid
Sabit Abdulai,GHA,MF,Getafe,La Liga,21.0,1999.0,0.7,17.0,0.0,2.0,11.0,6.0,0.0,17.0,1.0,3.0,33.3,1.0,0.0,11.0,46.0,22.0,1.0,1.0,0.0,0.0,0.0,10.0,8.0,80.0,1.0,Sabit Abdulai
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27.0,1992.0,14.7,871.0,26.0,223.0,551.0,174.0,13.0,825.0,23.0,32.0,71.9,23.0,0.0,595.0,3486.0,1689.0,60.0,22.0,1.0,6.0,18.0,628.0,565.0,90.0,14.0,Mehdi Abeid
Laurent Abergel,FRA,MF,Lorient,Ligue 1,27.0,1993.0,32.9,1973.0,40.0,514.0,1269.0,309.0,17.0,1932.0,22.0,31.0,71.0,22.0,0.0,1362.0,5793.0,2893.0,107.0,34.0,3.0,41.0,46.0,1427.0,1321.0,92.6,47.0,Laurent Abergel
Charles Abi,FRA,FWMF,Saint-Étienne,Ligue 1,20.0,2000.0,10.1,345.0,9.0,41.0,165.0,158.0,44.0,330.0,12.0,27.0,44.4,14.0,0.0,209.0,968.0,504.0,27.0,11.0,4.0,35.0,25.0,492.0,253.0,51.4,66.0,Charles Abi
Matthis Abline,FRA,FW,Rennes,Ligue 1,17.0,2003.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,100.0,1.0,0.0,2.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,Matthis Abline
Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,24.0,1995.0,14.0,856.0,141.0,518.0,369.0,25.0,16.0,830.0,5.0,6.0,83.3,5.0,0.0,456.0,3013.0,1651.0,16.0,1.0,0.0,2.0,1.0,472.0,461.0,97.7,0.0,Pape Abou Cisse
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,34.0,1986.0,13.6,793.0,55.0,322.0,422.0,100.0,8.0,738.0,3.0,6.0,50.0,4.0,0.0,435.0,2311.0,1261.0,44.0,9.0,0.0,3.0,0.0,473.0,454.0,96.0,8.0,David Abraham
Tammy Abraham,ENG,FW,Chelsea,Premier League,22.0,1997.0,11.6,356.0,21.0,40.0,167.0,166.0,66.0,347.0,6.0,19.0,31.6,6.0,2.0,177.0,709.0,252.0,13.0,5.0,4.0,26.0,13.0,491.0,251.0,51.1,96.0,Tammy Abraham
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,30.0,1990.0,0.7,31.0,3.0,11.0,14.0,7.0,0.0,31.0,0.0,0.0,,0.0,0.0,14.0,56.0,29.0,0.0,0.0,0.0,0.0,2.0,21.0,17.0,81.0,0.0,Amir Abrashi
Gennaro Acampora,ITA,MFFW,Spezia,Serie A,26.0,1994.0,4.9,290.0,8.0,33.0,172.0,115.0,8.0,286.0,5.0,12.0,41.7,7.0,1.0,219.0,1432.0,601.0,28.0,14.0,1.0,8.0,12.0,247.0,210.0,85.0,14.0,Gennaro Acampora
Francesco Acerbi,ITA,DF,Lazio,Serie A,32.0,1988.0,31.3,2382.0,348.0,1231.0,1170.0,195.0,19.0,2279.0,11.0,12.0,91.7,11.0,0.0,1448.0,9813.0,5208.0,116.0,32.0,1.0,14.0,8.0,1592.0,1549.0,97.3,22.0,Francesco Acerbi
Ragnar Ache,GER,FWDF,Eint Frankfurt,Bundesliga,22.0,1998.0,1.1,54.0,1.0,2.0,32.0,24.0,11.0,54.0,0.0,0.0,,0.0,0.0,25.0,83.0,57.0,4.0,2.0,0.0,7.0,4.0,75.0,41.0,54.7,15.0,Ragnar Ache
Marcos Acuña,ARG,DF,Sevilla,La Liga,28.0,1991.0,25.9,2027.0,73.0,704.0,915.0,525.0,31.0,1760.0,41.0,60.0,68.3,43.0,5.0,1309.0,5909.0,3793.0,133.0,34.0,8.0,33.0,33.0,1437.0,1356.0,94.4,56.0,Marcos Acuna
Che Adams,SCO,FW,Southampton,Premier League,24.0,1996.0,29.6,976.0,22.0,98.0,444.0,492.0,110.0,965.0,25.0,44.0,56.8,28.0,0.0,630.0,2627.0,1169.0,67.0,27.0,10.0,74.0,52.0,1474.0,734.0,49.8,189.0,Che Adams
Tyler Adams,USA,DFMF,RB Leipzig,Bundesliga,21.0,1999.0,20.6,1615.0,57.0,394.0,961.0,372.0,20.0,1520.0,18.0,21.0,85.7,18.0,0.0,1067.0,5237.0,2594.0,106.0,34.0,4.0,18.0,31.0,1188.0,1088.0,91.6,47.0,Tyler Adams
Sargis Adamyan,ARM,FWMF,Hoffenheim,Bundesliga,27.0,1993.0,5.3,249.0,3.0,26.0,89.0,160.0,42.0,244.0,3.0,11.0,27.3,4.0,1.0,177.0,1256.0,742.0,31.0,17.0,3.0,19.0,11.0,257.0,188.0,73.2,51.0,Sargis Adamyan
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,22.0,1997.0,32.8,2221.0,462.0,1338.0,920.0,73.0,34.0,2172.0,8.0,11.0,72.7,9.0,0.0,1324.0,6173.0,3455.0,50.0,6.0,0.0,5.0,8.0,1531.0,1491.0,97.4,5.0,Tosin Adarabioyo
Bobby Adekanye,NED,FWMF,Cádiz,La Liga,21.0,1999.0,0.4,18.0,1.0,2.0,8.0,11.0,4.0,18.0,1.0,2.0,50.0,2.0,0.0,15.0,88.0,61.0,3.0,2.0,1.0,4.0,0.0,14.0,12.0,85.7,4.0,Bobby Adekanye
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,20.0,2000.0,26.9,1942.0,55.0,419.0,1254.0,412.0,21.0,1890.0,55.0,83.0,66.3,59.0,2.0,1408.0,6992.0,3928.0,156.0,47.0,7.0,33.0,43.0,1559.0,1448.0,92.9,33.0,Yacine Adli
Andrea Adorante,ITA,FW,Parma,Serie A,20.0,2000.0,0.1,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,Andrea Adorante
Adrián,ESP,GK,Liverpool,Premier League,33.0,1987.0,3.0,113.0,102.0,113.0,0.0,0.0,0.0,84.0,0.0,0.0,,0.0,0.0,50.0,162.0,74.0,0.0,0.0,0.0,0.0,0.0,47.0,46.0,97.9,0.0,Adrian
Martin Agirregabiria,ESP,DFMF,Alavés,La Liga,24.0,1996.0,17.3,883.0,48.0,306.0,454.0,155.0,8.0,706.0,4.0,8.0,50.0,4.0,0.0,412.0,1633.0,843.0,33.0,8.0,2.0,8.0,9.0,501.0,425.0,84.8,19.0,Martin Agirregabiria
Lucien Agoume,FRA,MF,Spezia,Serie A,18.0,2002.0,8.9,569.0,30.0,174.0,349.0,74.0,1.0,557.0,4.0,7.0,57.1,5.0,0.0,365.0,1663.0,646.0,17.0,4.0,1.0,2.0,11.0,397.0,372.0,93.7,8.0,Lucien Agoume
Felix Agu,GER,DF,Werder Bremen,Bundesliga,20.0,1999.0,7.8,422.0,20.0,164.0,180.0,92.0,8.0,358.0,4.0,12.0,33.3,4.0,0.0,212.0,862.0,492.0,15.0,5.0,0.0,12.0,12.0,249.0,193.0,77.5,23.0,Felix Agu
Kevin Agudelo,COL,FW,Spezia,Serie A,21.0,1998.0,15.1,564.0,5.0,66.0,286.0,280.0,59.0,548.0,40.0,70.0,57.1,45.0,2.0,404.0,2721.0,1692.0,76.0,33.0,18.0,36.0,34.0,574.0,365.0,63.6,80.0,Kevin Agudelo
Nayef Aguerd,MAR,DF,Rennes,Ligue 1,24.0,1996.0,35.0,3019.0,301.0,1348.0,1773.0,65.0,37.0,2951.0,8.0,11.0,72.7,9.0,0.0,2060.0,9495.0,5390.0,120.0,11.0,0.0,4.0,10.0,2299.0,2266.0,98.6,6.0,Nayef Aguerd
Sergio Agüero,ARG,FWMF,Manchester City,Premier League,32.0,1988.0,6.2,246.0,0.0,10.0,109.0,143.0,50.0,234.0,8.0,14.0,57.1,9.0,2.0,166.0,707.0,327.0,23.0,7.0,2.0,11.0,13.0,285.0,193.0,67.7,52.0,Sergio Aguero
Ruben Aguilar,FRA,DFFW,Monaco,Ligue 1,27.0,1993.0,24.7,1909.0,56.0,400.0,937.0,681.0,64.0,1693.0,22.0,41.0,53.7,24.0,2.0,1157.0,5571.0,3395.0,168.0,54.0,5.0,30.0,27.0,1423.0,1200.0,84.3,125.0,Ruben Aguilar
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,18.0,2002.0,2.8,160.0,4.0,39.0,106.0,33.0,4.0,160.0,9.0,13.0,69.2,10.0,0.0,128.0,803.0,366.0,16.0,4.0,1.0,3.0,9.0,130.0,123.0,94.6,6.0,Naouirou Ahamada
Matteo Ahlinvi,BEN,MF,Nîmes,Ligue 1,21.0,1999.0,10.0,464.0,16.0,126.0,299.0,89.0,14.0,457.0,18.0,24.0,75.0,20.0,0.0,348.0,2220.0,1335.0,44.0,11.0,2.0,21.0,18.0,375.0,319.0,85.1,22.0,Matteo Ahlinvi
Cheikh Ahmadou Dieng,SEN,FW,Marseille,Ligue 1,20.0,2000.0,1.4,28.0,0.0,4.0,19.0,8.0,3.0,25.0,1.0,1.0,100.0,1.0,0.0,17.0,71.0,48.0,2.0,0.0,0.0,1.0,2.0,57.0,16.0,28.1,4.0,Cheikh Ahmadou Dieng
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,26.0,1994.0,23.8,1104.0,51.0,253.0,715.0,208.0,26.0,1094.0,23.0,37.0,62.2,28.0,1.0,712.0,3297.0,1745.0,64.0,28.0,2.0,25.0,23.0,760.0,666.0,87.6,29.0,Jean Eudes Aholou
Jean-Eudes Aholou,CIV,MF,Monaco,Ligue 1,26.0,1994.0,0.4,17.0,1.0,9.0,6.0,3.0,2.0,17.0,0.0,0.0,,0.0,0.0,6.0,27.0,12.0,1.0,0.0,0.0,1.0,0.0,12.0,10.0,83.3,2.0,Jean Eudes Aholou
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,24.0,1995.0,14.3,815.0,129.0,510.0,327.0,20.0,11.0,799.0,5.0,6.0,83.3,6.0,1.0,472.0,2867.0,1515.0,33.0,3.0,1.0,4.0,5.0,464.0,460.0,99.1,1.0,Joseph Aidoo
Ola Aina,NGA,DF,Fulham,Premier League,23.0,1996.0,29.6,2031.0,117.0,787.0,1004.0,355.0,21.0,1766.0,21.0,34.0,61.8,22.0,2.0,1159.0,6044.0,3336.0,114.0,35.0,5.0,20.0,15.0,1289.0,1230.0,95.4,25.0,Ola Aina
Rayan Aït Nouri,FRA,DF,Wolves,Premier League,19.0,2001.0,15.6,986.0,43.0,264.0,465.0,322.0,29.0,853.0,37.0,61.0,60.7,38.0,2.0,651.0,3125.0,2044.0,98.0,31.0,14.0,22.0,21.0,666.0,613.0,92.0,31.0,Rayan Ait Nouri
Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,19.0,2001.0,2.1,173.0,2.0,39.0,101.0,48.0,5.0,153.0,8.0,10.0,80.0,9.0,0.0,133.0,537.0,367.0,19.0,6.0,1.0,4.0,4.0,137.0,128.0,93.4,7.0,Rayan Ait Nouri
Semi Ajayi,NGA,DF,West Brom,Premier League,26.0,1993.0,30.9,1280.0,233.0,708.0,551.0,81.0,36.0,1221.0,12.0,18.0,66.7,13.0,1.0,611.0,3331.0,1762.0,29.0,10.0,0.0,11.0,13.0,691.0,627.0,90.7,6.0,Semi Ajayi
