Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Name_no_spec_chars
Ismael Aaneba,FRA,FWDF,Strasbourg,Ligue 1,21.0,1999.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Ismael Aaneba
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,29.0,1990.0,19.7,0,18,6,33.3,0.91,0.3,0.0,0.0,20.3,3.0,0,0,1.2,1.2,0.07,-1.2,-1.2,Patrick van Aanholt
Issah Abbas,GHA,DFFW,Mainz 05,Bundesliga,21.0,1998.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Issah Abbas
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32.0,1987.0,32.1,3,15,5,33.3,0.47,0.16,0.2,0.6,10.2,0.0,0,0,1.7,1.7,0.11,1.3,1.3,Yunis Abdelhamid
Sabit Abdulai,GHA,MF,Getafe,La Liga,21.0,1999.0,0.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Sabit Abdulai
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27.0,1992.0,14.7,0,20,0,0.0,1.36,0.0,0.0,,22.9,1.0,0,0,1.0,1.0,0.05,-1.0,-1.0,Mehdi Abeid
Laurent Abergel,FRA,MF,Lorient,Ligue 1,27.0,1993.0,32.9,3,30,10,33.3,0.91,0.3,0.1,0.3,25.9,0.0,0,0,1.3,1.3,0.04,1.7,1.7,Laurent Abergel
Charles Abi,FRA,FWMF,Saint-Étienne,Ligue 1,20.0,2000.0,10.1,3,19,4,21.1,1.87,0.39,0.16,0.75,11.8,0.0,0,0,2.1,2.1,0.11,0.9,0.9,Charles Abi
Matthis Abline,FRA,FW,Rennes,Ligue 1,17.0,2003.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matthis Abline
Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,24.0,1995.0,14.0,0,13,3,23.1,0.93,0.21,0.0,0.0,11.3,0.0,0,0,1.2,1.2,0.09,-1.2,-1.2,Pape Abou Cisse
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,34.0,1986.0,13.6,1,9,2,22.2,0.66,0.15,0.11,0.5,16.0,0.0,0,0,0.7,0.7,0.07,0.3,0.3,David Abraham
Tammy Abraham,ENG,FW,Chelsea,Premier League,22.0,1997.0,11.6,6,32,13,40.6,2.77,1.13,0.19,0.46,9.7,0.0,0,0,6.4,6.4,0.2,-0.4,-0.4,Tammy Abraham
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,30.0,1990.0,0.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Amir Abrashi
Gennaro Acampora,ITA,MFFW,Spezia,Serie A,26.0,1994.0,4.9,0,9,0,0.0,1.84,0.0,0.0,,25.0,1.0,0,0,0.3,0.3,0.03,-0.3,-0.3,Gennaro Acampora
Francesco Acerbi,ITA,DF,Lazio,Serie A,32.0,1988.0,31.3,0,8,0,0.0,0.26,0.0,0.0,,13.1,0.0,0,0,1.0,1.0,0.12,-1.0,-1.0,Francesco Acerbi
Ragnar Ache,GER,FWDF,Eint Frankfurt,Bundesliga,22.0,1998.0,1.1,1,2,1,50.0,1.8,0.9,0.5,1.0,14.7,0.0,0,0,0.3,0.3,0.13,0.7,0.7,Ragnar Ache
