Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG,npxG,xA,npxG+xA,xG_per90,xA_per90,xG+xA_per90,npxG_per90,npxG+xA_per90,Name_no_spec_chars
Ismael Aaneba,FRA,FWDF,Strasbourg,Ligue 1,21.0,1999.0,2,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ismael Aaneba
Patrick van Aanholt,NED,DF,Crystal Palace,Premier League,29.0,1990.0,22,20,1777,19.7,0,1,0,0,0,2,0,0.0,0.05,0.05,0.0,0.05,1.2,1.2,0.8,2.0,0.06,0.04,0.1,0.06,0.1,Patrick van Aanholt
Issah Abbas,GHA,DFFW,Mainz 05,Bundesliga,21.0,1998.0,2,0,18,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Issah Abbas
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32.0,1987.0,33,33,2889,32.1,3,0,3,0,0,4,1,0.09,0.0,0.09,0.09,0.09,1.7,1.7,0.3,1.9,0.05,0.01,0.06,0.05,0.06,Yunis Abdelhamid
Sabit Abdulai,GHA,MF,Getafe,La Liga,21.0,1999.0,3,0,60,0.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sabit Abdulai
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27.0,1992.0,18,15,1320,14.7,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,1.7,0.07,0.05,0.12,0.07,0.12,Mehdi Abeid
Laurent Abergel,FRA,MF,Lorient,Ligue 1,27.0,1993.0,38,32,2963,32.9,3,1,3,0,0,5,0,0.09,0.03,0.12,0.09,0.12,1.3,1.3,1.4,2.7,0.04,0.04,0.08,0.04,0.08,Laurent Abergel
Charles Abi,FRA,FWMF,Saint-Étienne,Ligue 1,20.0,2000.0,24,9,912,10.1,3,2,3,0,0,1,0,0.3,0.2,0.49,0.3,0.49,2.1,2.1,0.3,2.4,0.21,0.03,0.24,0.21,0.24,Charles Abi
Matthis Abline,FRA,FW,Rennes,Ligue 1,17.0,2003.0,1,0,2,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matthis Abline
Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,24.0,1995.0,14,14,1260,14.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.1,1.2,0.08,0.0,0.09,0.08,0.09,Pape Abou Cisse
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,34.0,1986.0,14,14,1222,13.6,1,0,1,0,0,5,1,0.07,0.0,0.07,0.07,0.07,0.7,0.7,0.5,1.1,0.05,0.03,0.08,0.05,0.08,David Abraham
Tammy Abraham,ENG,FW,Chelsea,Premier League,22.0,1997.0,22,12,1040,11.6,6,1,6,0,0,0,0,0.52,0.09,0.61,0.52,0.61,6.4,6.4,0.9,7.3,0.56,0.07,0.63,0.56,0.63,Tammy Abraham
