Serie_A_rank,Team,Player,KM_RUN_avg,Total_minutes
1,[INTER] ,Marcelo Brozovic ,11.929,2725
2,[PARMA] ,Mark Kosznovszky ,11.794,91
3,[SAMPDORIA] ,Morten Thorsby ,11.726,2805
4,[CAGLIARI] ,Marko Rog ,11.555,1229
5,[SPEZIA] ,Elio Capradossi ,11.504,96
6,[INTER] ,Nicolo' Barella ,11.447,3067
7,[LAZIO] ,Sergej Milinkovic-Savic ,11.432,2899
8,[MILAN] ,Frank Kessie ,11.326,3428
9,[GENOA] ,Milan Badelj ,11.315,2543
10,[NAPOLI] ,Diego Demme ,11.297,1679
11,[NAPOLI] ,Fabian Ruiz ,11.261,2702
12,[UDINESE] ,Roberto Pereyra ,11.184,3078
13,,Mamadou Coulibaly ,11.145,201
14,[PARMA] ,Jasmin Kurtic ,11.121,2899
15,[SPEZIA] ,Matteo Ricci ,11.085,2376
16,[ATALANTA] ,Remo Freuler ,11.083,2843
17,[SASSUOLO] ,Manuel Locatelli ,11.048,3070
18,[LAZIO] ,Francesco Acerbi ,10.986,2997
19,[NAPOLI] ,Giovanni Di Lorenzo ,10.972,3451
20,[CAGLIARI] ,Nahitan Nandez ,10.951,2911
21,[ATALANTA] ,Marten De Roon ,10.932,3188
22,[BOLOGNA] ,Roberto Soriano ,10.93,3443
23,[HELLAS VERONA] ,Antonin Barak ,10.92,2922
24,[CROTONE] ,Junior Messias ,10.899,3395
25,[PARMA] ,Juraj Kucka ,10.841,2464
26,[FIORENTINA] ,Sofyan Amrabat ,10.811,2597
27,[HELLAS VERONA] ,Davide Faraoni ,10.796,3064
28,[INTER] ,Milan Skriniar ,10.79,2941
29,[UDINESE] ,Rodrigo De Paul ,10.674,3401
30,[TORINO] ,Rolando Mandragora ,10.653,2061
31,[GENOA] ,Nicolo' Rovella ,10.653,1263
32,[CAGLIARI] ,Razvan Marin ,10.636,3118
33,[ROMA] ,Henrikh Mkhitaryan ,10.635,2901
34,[NAPOLI] ,Lorenzo Insigne ,10.584,3018
35,[ROMA] ,Lorenzo Pellegrini ,10.569,2735
36,[JUVENTUS] ,Adrien Rabiot ,10.563,2469
37,[CAGLIARI] ,Diego Godin ,10.56,2677
38,[JUVENTUS] ,Rodrigo Bentancur ,10.559,2466
39,[INTER] ,Alessandro Bastoni ,10.559,3085
40,[CAGLIARI] ,Sebastian Walukiewicz ,10.534,1717
41,[INTER] ,Stefan De Vrij ,10.501,2907
42,[SAMPDORIA] ,Albin Ekdal ,10.459,2425
43,[ATALANTA] ,Rafael Toloi ,10.446,2673
44,[LAZIO] ,Ciro Immobile ,10.434,3000
45,[MILAN] ,Matteo Gabbia ,10.432,602
46,[PARMA] ,Bruno Alves ,10.43,1732
47,[CAGLIARI] ,Joao Pedro ,10.412,3448
48,[SPEZIA] ,Lucien Agoume ,10.406,854
49,[TORINO] ,Bremer ,10.375,3148
50,[CROTONE] ,Ahmad Benali ,10.357,1280
51,[BENEVENTO] ,Artur Ionita ,10.353,2972
52,[SASSUOLO] ,Gian Marco Ferrari ,10.333,3216
53,[BOLOGNA] ,Takehiro Tomiyasu ,10.331,2866
54,[ROMA] ,Gianluca Mancini ,10.321,3023
55,[JUVENTUS] ,Alex Sandro ,10.315,1966
56,[SAMPDORIA] ,Alex Ferrari ,10.303,936
57,[CROTONE] ,Vladimir Golemic ,10.281,2482
58,[NAPOLI] ,Nikola Maksimovic ,10.28,1282
59,[ATALANTA] ,Hans Hateboer ,10.277,1843
60,[LAZIO] ,Stefan Radu ,10.271,2590
61,,Andrea Danzi ,10.261,111
62,[MILAN] ,Hakan Calhanoglu ,10.249,2740
63,[INTER] ,Aleksandar Kolarov ,10.244,420
64,[CAGLIARI] ,Daniele Rugani ,10.223,1079
65,[ATALANTA] ,Berat Djimsiti ,10.218,2759
66,[MILAN] ,Davide Calabria ,10.213,2815
67,[NAPOLI] ,Amir Rrahmani ,10.212,1162
68,[FIORENTINA] ,Erick Pulgar ,10.205,2147
69,[BENEVENTO] ,Federico Barba ,10.2,2831
70,[JUVENTUS] ,Giorgio Chiellini ,10.199,1473
71,[GENOA] ,Davide Zappacosta ,10.196,2154
72,[MILAN] ,Theo Hernandez ,10.195,3131
73,[PARMA] ,Mattia Bani ,10.188,2188
74,[SAMPDORIA] ,Bartosz Bereszynski ,10.182,2755
75,[BENEVENTO] ,Pasquale Schiattarella ,10.182,2393
76,[JUVENTUS] ,Matthijs De Ligt ,10.178,2362
77,[CROTONE] ,Arkadiusz Reca ,10.172,2450
78,,Hidde Ter Avest ,10.164,379
79,[SAMPDORIA] ,Tommaso Augello ,10.161,3382
80,,Lukas Lerager ,10.14,1233
81,[FIORENTINA] ,Dusan Vlahovic ,10.134,3090
82,[TORINO] ,Armando Izzo ,10.121,2131
83,[LAZIO] ,Adam Marusic ,10.12,3150
84,[LAZIO] ,Manuel Lazzari ,10.116,2769
85,[CROTONE] ,Sebastiano Luperto ,10.115,1980
86,[ROMA] ,Ebrima Darboe ,10.11,339
87,[BENEVENTO] ,Perparim Hetemaj ,10.11,2364
88,[NAPOLI] ,Piotr Zielinski ,10.108,2638
89,[TORINO] ,Tomas Rincon ,10.094,3011
90,[UDINESE] ,Jens Stryger Larsen ,10.063,2779
91,,Kastriot Dermaku ,10.059,108
92,[SAMPDORIA] ,Antonio Candreva ,10.047,2623
93,[CAGLIARI] ,Andrea Carboni ,10.041,1152
94,[MILAN] ,Alessio Romagnoli ,10.033,2039
95,[SPEZIA] ,Luca Vignali ,10.019,1682
96,[NAPOLI] ,Tiemoue' Bakayoko ,10.015,2089
97,[INTER] ,Achraf Hakimi ,10.012,2813
98,[CROTONE] ,Koffi Djidji ,10.009,1614
99,[UDINESE] ,Bram Nuytinck ,10.007,1749
100,[ATALANTA] ,Robin Gosens ,9.995,2637
101,[ROMA] ,Bryan Cristante ,9.957,2297
102,[ATALANTA] ,Matteo Pessina ,9.935,1716
103,[JUVENTUS] ,Merih Demiral ,9.932,1015
