Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Top Team Scorer,Goalkeeper
1,Milan,7,5,2,0,16,7,+9,17,16.5,8.7,+7.7,+1.10,W W D W D,Zlatan Ibrahimović - 8,Gianluigi Donnarumma
2,Sassuolo,7,4,3,0,18,9,+9,15,13.1,9.9,+3.2,+0.46,W W D W D,Francesco Caputo - 5,Andrea Consigli
3,Napoli,7,5,0,2,15,7,+8,15,11.3,4.4,+6.9,+1.14,L W W L W,Hirving Lozano - 4,David Ospina
4,Roma,7,4,2,1,16,11,+5,14,16.7,9.0,+7.7,+1.10,W W D W W,Jordan Veretout - 4,Antonio Mirante
5,Juventus,7,3,4,0,15,6,+9,13,11.9,7.0,+4.8,+0.80,W D D W D,Cristiano Ronaldo - 6,Wojciech Szczęsny
6,Atalanta,7,4,1,2,18,14,+4,13,13.4,9.6,+3.9,+0.55,W L L W D,Papu Gómez Luis Muriel - 4,Marco Sportiello
7,Inter,7,3,3,1,16,11,+5,12,14.9,9.1,+5.8,+0.83,D L W D D,Romelu Lukaku - 5,Samir Handanović
8,Hellas Verona,7,3,3,1,10,5,+5,12,8.2,12.0,-3.8,-0.55,L D D W D,Antonín Barák - 3,Marco Silvestri
9,Lazio,7,3,2,2,11,13,-2,11,10.1,10.6,-0.5,-0.07,D L W W D,Felipe Caicedo Ciro Immobile - 3,Thomas Strakosha
10,Cagliari,7,3,1,3,14,15,-1,10,10.2,12.8,-2.6,-0.37,L W W L W,João Pedro Giovanni Simeone - 5,Alessio Cragno
11,Sampdoria,7,3,1,3,11,11,0,10,8.7,11.1,-2.4,-0.34,W W W D L,Fabio Quagliarella - 4,Emil Audero
12,Fiorentina,7,2,2,3,10,12,-2,8,10.0,11.6,-1.6,-0.22,L D W L D,Gaetano Castrovilli - 4,Bartłomiej Drągowski
13,Spezia,7,2,2,3,11,15,-4,8,5.8,15.3,-9.5,-1.35,L D D L W,Andrey Galabinov - 3,Ivan Provedel
14,Bologna,7,2,0,5,11,13,-2,6,10.0,10.4,-0.4,-0.05,L L L W L,Roberto Soriano - 4,Łukasz Skorupski
15,Benevento,7,2,0,5,10,20,-10,6,7.9,16.0,-8.1,-1.16,W L L L L,Gianluca Lapadula Gianluca Caprari - 3,Lorenzo Montipò
16,Parma,7,1,3,3,8,13,-5,6,7.8,9.6,-1.9,-0.27,W L D D D,Gervinho Hernani - 2,Luigi Sepe
17,Torino,7,1,2,4,12,16,-4,5,8.9,10.5,-1.6,-0.22,L D L W D,Andrea Belotti - 6,Salvatore Sirigu
18,Genoa,7,1,2,4,7,15,-8,5,5.4,10.1,-4.7,-0.67,D L D L L,Marko Pjaca Gianluca Scamacca - 2,Mattia Perin
19,Udinese,7,1,1,5,6,11,-5,4,9.0,5.8,+3.2,+0.45,L W L L D,Stefano Okaka - 2,Juan Musso
20,Crotone,7,0,2,5,6,17,-11,2,7.0,13.1,-6.1,-0.87,L D L L D,Simeon Nwankwo - 3,Alex Cordaz
