Squad,# Pl,90s,Cmp,Att,Cmp_Pct,TotDist,PrgDist,Cmp_Short,Att_Short,Cmp_Pct_Short,Cmp_Medium,Att_Medium,Cmp_Pct_Medium,Cmp_Long,Att_Long,Cmp_Pct_Long,Ast,xA,A_xA,KP,Final_Third_Cmps,PPA_Cmps,CrsPA_Cmps,Prog
Atalanta,23,7.0,3498,4147,84.4,66076,20033,1463,1626,90.0,1521,1695,89.7,457,681,67.1,15,9.6,+5.4,86,270,103,18,341
Benevento,21,7.0,2246,2921,76.9,45465,15951,812,956,84.9,1023,1218,84.0,362,637,56.8,7,4.6,+2.4,40,141,51,14,184
Bologna,22,7.0,2681,3321,80.7,53777,18885,1018,1170,87.0,1208,1375,87.9,419,662,63.3,8,7.6,+0.4,85,236,66,10,292
Cagliari,22,7.0,2521,3151,80.0,49109,17091,1013,1145,88.5,1088,1280,85.0,368,590,62.4,9,6.3,+2.7,59,159,52,11,196
Crotone,25,7.0,2848,3475,82.0,55499,18782,1069,1195,89.5,1371,1571,87.3,373,604,61.8,3,4.2,-1.2,47,162,48,15,232
Fiorentina,23,7.0,3072,3662,83.9,60770,17684,1211,1349,89.8,1320,1476,89.4,486,717,67.8,10,8.4,+1.6,61,213,57,28,211
Genoa,26,7.0,2799,3501,79.9,56495,17220,1031,1166,88.4,1276,1472,86.7,445,737,60.4,7,4.5,+2.5,48,136,38,7,181
Hellas Verona,26,7.0,2273,3086,73.7,46071,15612,852,1035,82.3,1024,1255,81.6,360,678,53.1,5,6.8,-1.8,57,179,58,15,242
Inter,22,7.0,3850,4489,85.8,72725,22022,1555,1729,89.9,1695,1893,89.5,510,697,73.2,12,12.1,-0.1,95,320,93,29,344
Juventus,23,6.0,3266,3763,86.8,62522,19103,1266,1401,90.4,1529,1677,91.2,415,580,71.6,8,8.5,-0.5,61,208,53,9,231
Lazio,25,7.0,3282,3947,83.2,64773,21019,1269,1409,90.1,1442,1631,88.4,499,745,67.0,6,6.5,-0.5,66,277,67,18,288
Milan,23,7.0,3200,3898,82.1,60254,19970,1303,1464,89.0,1374,1563,87.9,430,700,61.4,8,9.3,-1.3,84,215,77,25,269
Napoli,22,6.0,3031,3551,85.4,56191,17638,1345,1482,90.8,1208,1360,88.8,410,570,71.9,12,8.1,+3.9,86,228,57,12,277
Parma,26,7.0,2351,2986,78.7,49801,16541,791,925,85.5,1115,1286,86.7,414,666,62.2,6,5.5,+0.5,46,150,32,6,187
Roma,21,7.0,2845,3499,81.3,57012,18105,1087,1275,85.3,1275,1458,87.4,444,661,67.2,10,11.5,-1.5,80,215,63,12,235
Sampdoria,24,7.0,2356,3101,76.0,46578,15817,910,1072,84.9,1020,1216,83.9,364,667,54.6,9,6.0,+3.0,51,147,43,9,198
Sassuolo,23,7.0,3811,4370,87.2,68281,20237,1732,1864,92.9,1562,1710,91.3,424,610,69.5,10,8.5,+1.5,81,244,63,8,249
Spezia,30,7.0,2563,3132,81.8,53813,16835,953,1077,88.5,1058,1208,87.6,506,740,68.4,10,4.5,+4.5,55,154,35,5,171
Torino,22,7.0,2710,3293,82.3,50744,16593,1183,1319,89.7,1143,1286,88.9,342,593,57.7,6,5.2,+0.8,48,157,41,7,169
Udinese,26,7.0,2465,3157,78.1,48587,16241,931,1095,85.0,1124,1314,85.5,361,620,58.2,3,5.6,-2.6,56,174,59,14,234
