Squad,# Pl,90s,Gls,Sh,SoT,SoT_Pct,Sh_per_90,SoT_per_90,G_per_Sh,G_per_SoT,Dist,FK,PK,PKatt,xG,npxG,npxG_per_Sh,G_xG,np_G_xG
Atalanta,23,7.0,18,107,41,38.3,15.29,5.86,0.16,0.41,16.8,5,1,1,13.4,12.7,0.12,+4.6,+4.3
Benevento,21,7.0,10,68,25,36.8,9.71,3.57,0.15,0.40,16.7,4,0,1,7.9,7.0,0.11,+2.1,+3.0
Bologna,22,7.0,11,111,43,38.7,15.86,6.14,0.10,0.26,17.2,6,0,0,10.0,10.0,0.09,+1.0,+1.0
Cagliari,22,7.0,14,81,30,37.0,11.57,4.29,0.16,0.43,16.5,5,1,1,10.2,9.5,0.12,+3.8,+3.5
Crotone,25,7.0,6,68,18,26.5,9.71,2.57,0.06,0.22,18.4,3,2,2,7.0,5.4,0.08,-1.0,-1.4
Fiorentina,23,7.0,10,78,26,33.3,11.14,3.71,0.13,0.38,15.5,4,0,0,10.0,10.0,0.13,0.0,0.0
Genoa,26,7.0,7,62,19,30.6,8.86,2.71,0.11,0.37,18.0,1,0,0,5.4,5.4,0.09,+1.6,+1.6
Hellas Verona,26,7.0,6,72,27,37.5,10.29,3.86,0.08,0.22,15.4,1,0,0,8.2,8.2,0.11,-2.2,-2.2
Inter,22,7.0,15,118,40,33.9,16.86,5.71,0.13,0.38,15.7,1,0,0,14.9,14.9,0.13,+0.1,+0.1
Juventus,23,6.0,12,77,26,33.8,12.83,4.33,0.13,0.38,16.6,5,2,2,11.9,10.3,0.14,+0.1,-0.3
Lazio,25,7.0,11,88,26,29.5,12.57,3.71,0.11,0.38,16.7,2,1,1,10.1,9.4,0.11,+0.9,+0.6
Milan,23,7.0,15,113,36,31.9,16.14,5.14,0.11,0.33,16.0,8,3,5,16.5,12.5,0.12,-1.5,-0.5
Napoli,22,6.0,15,114,44,38.6,19.00,7.33,0.13,0.34,16.6,5,0,0,11.3,11.3,0.10,+3.7,+3.7
Parma,26,7.0,8,61,21,34.4,8.71,3.00,0.11,0.33,19.2,4,1,1,7.8,7.0,0.12,+0.2,0.0
Roma,21,7.0,16,109,38,34.9,15.57,5.43,0.12,0.34,16.3,4,3,3,16.7,14.5,0.14,-0.7,-1.5
Sampdoria,24,7.0,11,74,25,33.8,10.57,3.57,0.14,0.40,18.1,2,1,2,8.7,7.2,0.10,+2.3,+2.8
Sassuolo,23,7.0,17,106,40,37.7,15.14,5.71,0.13,0.35,16.7,6,3,3,13.1,10.8,0.11,+3.9,+3.2
Spezia,30,7.0,11,74,26,35.1,10.57,3.71,0.15,0.42,18.0,0,0,0,5.8,5.8,0.08,+5.2,+5.2
Torino,22,7.0,11,64,26,40.6,9.14,3.71,0.14,0.35,16.6,3,2,2,8.9,7.4,0.12,+2.1,+1.6
Udinese,26,7.0,5,86,23,26.7,12.29,3.29,0.05,0.17,17.2,0,1,1,9.0,8.3,0.10,-4.0,-4.3
