Squad,# Pl,90s,Tkl,TklW,Tkl_Def3rd,Tkl_Mid3rd,Tkl_Att3rd,Tkl_vs_Drib,Att_vs_Drib,Tkl_Pct_vs_Drib,Past_vs_Drib,Press,Press_Succ,Press_Succ_Pct,Press_Def3rd,Press_Mid3rd,Press_Att3rd,Blocks,Block_Sh,ShSv,Block_Pass,Int,Tkl_plus_Int,Clr,Err
Atalanta,23,7.0,132,76,48,63,21,31,92,33.7,61,1053,339,32.2,285,528,240,101,20,1,81,61,193,122,0
Benevento,21,7.0,104,55,53,39,12,35,111,31.5,76,882,273,31.0,289,395,198,121,24,0,97,32,136,114,3
Bologna,22,7.0,115,71,49,52,14,33,112,29.5,79,1083,306,28.3,371,467,245,131,25,0,106,42,157,173,3
Cagliari,22,7.0,131,73,53,57,21,37,124,29.8,87,1240,343,27.7,412,532,296,117,35,0,82,46,177,134,1
Crotone,25,7.0,138,91,71,44,23,53,132,40.2,79,1022,309,30.2,316,427,279,102,17,0,85,26,164,99,3
Fiorentina,23,7.0,92,57,43,40,9,36,85,42.4,49,985,277,28.1,321,456,208,102,28,0,74,40,132,131,5
Genoa,26,7.0,120,75,57,47,16,40,104,38.5,64,902,250,27.7,331,405,166,99,13,0,86,48,168,177,6
Hellas Verona,26,7.0,86,55,37,44,5,20,70,28.6,50,893,240,26.9,287,412,194,121,44,0,77,58,144,152,7
Inter,22,7.0,106,68,34,48,24,43,97,44.3,54,908,315,34.7,205,415,288,85,12,0,73,32,138,78,2
Juventus,23,6.0,95,65,54,37,4,30,89,33.7,59,851,279,32.8,315,362,174,107,27,0,80,39,134,107,1
Lazio,25,7.0,121,77,49,55,17,37,134,27.6,97,1109,357,32.2,368,521,220,107,21,0,86,41,162,127,3
Milan,23,7.0,118,78,59,50,9,32,91,35.2,59,1065,348,32.7,337,490,238,104,26,0,78,40,158,119,4
Napoli,22,6.0,114,76,56,48,10,38,97,39.2,59,814,253,31.1,232,310,272,91,15,0,76,35,149,76,0
Parma,26,7.0,120,74,70,43,7,31,110,28.2,79,1054,283,26.9,469,450,135,124,23,1,101,35,155,161,1
Roma,21,7.0,105,69,39,53,13,26,100,26.0,74,823,217,26.4,233,436,154,106,17,0,89,43,148,131,5
Sampdoria,24,7.0,112,73,47,51,14,26,98,26.5,72,1235,321,26.0,433,501,301,135,32,0,103,47,159,129,4
Sassuolo,23,7.0,130,76,66,43,21,41,105,39.0,64,815,276,33.9,276,338,201,112,23,0,89,41,171,117,1
Spezia,30,7.0,114,71,52,48,14,39,104,37.5,65,1015,258,25.4,288,500,227,84,21,0,63,33,147,109,1
Torino,22,7.0,118,69,65,37,16,32,102,31.4,70,920,224,24.3,352,382,186,114,29,3,85,55,173,162,4
Udinese,26,7.0,126,78,61,50,15,24,88,27.3,64,932,268,28.8,332,385,215,111,20,1,91,42,168,108,1
