Squad,# Pl,90s,SCA,SCA90,PassLive_SCA,PassDead_SCA,Drib_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,Drib_GCA,Sh_GCA,Fld_GCA,Def_GCA,OG_GCA
Atalanta,23,7.0,188,26.86,152,5,13,6,10,2,32,4.57,26,0,4,0,1,1,0
Benevento,21,7.0,91,13.00,64,9,2,5,7,4,12,1.71,8,3,0,1,0,0,0
Bologna,22,7.0,182,26.00,138,12,7,13,9,3,18,2.57,17,0,0,0,0,1,0
Cagliari,22,7.0,136,19.43,100,8,7,9,9,3,25,3.57,17,1,2,2,2,1,0
Crotone,25,7.0,106,15.14,78,12,4,1,7,4,8,1.14,4,1,0,0,2,1,0
Fiorentina,23,7.0,121,17.29,99,8,5,3,6,0,15,2.14,12,1,1,1,0,0,0
Genoa,26,7.0,98,14.00,76,7,1,5,6,3,10,1.43,10,0,0,0,0,0,0
Hellas Verona,26,7.0,106,15.14,76,12,5,4,7,2,12,1.71,9,0,0,2,1,0,0
Inter,22,7.0,191,27.29,163,11,7,6,2,2,24,3.43,18,2,1,2,1,0,0
Juventus,23,6.0,139,23.17,104,10,9,4,11,1,21,3.50,14,0,5,1,1,0,0
Lazio,25,7.0,140,20.00,118,7,7,5,3,0,18,2.57,13,0,2,2,1,0,0
Milan,23,7.0,197,28.14,131,20,9,16,18,3,24,3.43,14,1,1,3,4,1,0
Napoli,22,6.0,187,31.17,136,11,15,8,9,8,25,4.17,16,1,5,1,2,0,0
Parma,26,7.0,102,14.57,75,8,9,2,6,2,14,2.00,11,0,1,1,1,0,0
Roma,21,7.0,170,24.29,123,15,14,8,7,3,25,3.57,15,2,3,3,2,0,0
Sampdoria,24,7.0,109,15.57,75,8,4,8,7,7,18,2.57,15,0,2,0,1,0,0
Sassuolo,23,7.0,184,26.29,134,13,12,10,13,2,27,3.86,17,2,3,1,3,1,0
Spezia,30,7.0,114,16.29,85,8,11,7,2,1,18,2.57,13,2,1,2,0,0,0
Torino,22,7.0,104,14.86,70,10,8,5,6,5,18,2.57,13,1,0,1,2,1,0
Udinese,26,7.0,122,17.43,89,9,10,6,5,3,9,1.29,7,1,0,0,1,0,0
