Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,Inswing,Outswing,Straight,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Atalanta,23,7.0,4147,3888,259,90,9,491,127,78,22,6,9,6,3124,419,604,1387,2435,111,92,46,3498,9,61,49,103
Benevento,21,7.0,2921,2564,357,133,6,407,60,64,27,7,9,5,1876,378,667,907,1612,146,115,57,2246,12,51,42,60
Bologna,22,7.0,3321,2974,347,92,8,433,116,71,49,37,7,3,2186,461,674,821,2103,146,132,46,2681,15,38,35,113
Cagliari,22,7.0,3151,2809,342,96,5,435,68,66,29,10,10,2,2126,388,637,669,2134,92,137,58,2521,15,50,33,87
Crotone,25,7.0,3475,3110,365,121,2,520,75,75,18,10,2,1,2427,461,587,938,2176,121,145,42,2848,10,47,56,75
Fiorentina,23,7.0,3662,3302,360,126,6,396,155,85,27,0,25,0,2566,462,634,928,2354,107,140,70,3072,9,53,32,83
Genoa,26,7.0,3501,3165,336,105,4,389,111,54,21,8,9,1,2401,411,689,678,2459,118,129,46,2799,16,45,32,91
Hellas Verona,26,7.0,3086,2748,338,112,1,486,64,106,29,8,15,6,1798,515,773,974,1676,170,116,30,2273,16,63,41,102
Inter,22,7.0,4489,4172,317,87,8,630,116,103,46,13,14,7,3322,547,620,1189,2919,128,133,46,3850,9,39,55,90
Juventus,23,6.0,3763,3493,270,91,9,504,83,62,28,8,12,2,2818,489,456,1150,2318,104,91,54,3266,18,39,24,63
Lazio,25,7.0,3947,3618,329,87,3,504,113,82,36,18,10,3,2793,484,670,1197,2372,124,134,59,3282,9,51,33,83
Milan,23,7.0,3898,3560,338,118,9,472,103,91,46,20,15,4,2773,416,709,1172,2314,144,126,44,3200,23,45,49,75
Napoli,22,6.0,3551,3256,295,99,2,489,83,76,46,18,12,6,2551,471,529,1099,2180,71,110,36,3031,8,40,40,80
Parma,26,7.0,2986,2623,363,115,5,362,86,65,38,4,10,4,1984,371,631,869,1782,97,128,44,2351,13,51,40,88
Roma,21,7.0,3499,3211,288,107,10,514,87,72,40,13,18,4,2472,464,563,581,2553,121,89,54,2845,11,36,43,83
Sampdoria,24,7.0,3101,2759,342,92,5,434,106,72,30,14,9,2,1895,474,732,941,1761,129,142,52,2356,13,49,36,90
Sassuolo,23,7.0,4370,4065,305,104,6,451,89,60,38,9,20,6,3408,415,547,1513,2555,90,102,54,3811,11,46,50,95
Spezia,30,7.0,3132,2841,291,104,3,358,116,57,27,6,10,2,2113,418,601,1233,1600,96,96,48,2563,10,65,28,71
Torino,22,7.0,3293,2949,344,107,2,347,99,61,28,3,20,2,2352,320,621,765,2235,74,131,47,2710,9,41,46,61
Udinese,26,7.0,3157,2826,331,104,5,368,81,119,41,4,31,1,2119,399,639,713,2092,114,124,44,2465,20,48,33,105
