Squad,# Pl,Poss,90s,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Drib_Succ,Drib_Att,Drib_Succ_Pct,Drib_Pl,Megs,Carries,Carries_TotDist,Carries_PrgDist,Targ,Rec,Rec_Pct,Miscon,Dispos
Atalanta,23,54.9,7.0,4941,362,1345,2381,1518,217,4691,94,128,73.4,97,6,3418,18794,9908,3963,3498,88.3,89,101
Benevento,21,44.1,7.0,3629,489,1359,1699,776,119,3289,35,65,53.8,39,1,2057,11993,6418,2591,2246,86.7,74,72
Bologna,22,51.4,7.0,4217,507,1322,2012,1162,183,3872,93,135,68.9,101,3,2642,16352,8843,3035,2681,88.3,88,97
Cagliari,22,43.7,7.0,3926,498,1377,1888,946,132,3595,70,114,61.4,70,1,2367,15225,8629,2951,2521,85.4,77,83
Crotone,25,48.6,7.0,4254,573,1697,1910,901,134,3904,52,91,57.1,57,4,2656,14897,7881,3233,2848,88.1,106,123
Fiorentina,23,52.0,7.0,4456,468,1358,2277,1097,157,4116,73,109,67.0,76,6,3087,17581,9458,3380,3072,90.9,72,142
Genoa,26,45.7,7.0,4255,557,1729,1987,733,104,3930,56,94,59.6,57,2,2673,13317,7025,3181,2799,88.0,83,67
Hellas Verona,26,47.0,7.0,3870,466,1224,1970,900,142,3540,51,89,57.3,56,3,2204,13566,8049,2657,2273,85.5,85,75
Inter,22,60.9,7.0,5183,392,1256,2661,1651,221,4877,56,108,51.9,60,5,3544,20294,11708,4203,3850,91.6,104,78
Juventus,23,57.2,6.0,4376,483,1537,2144,946,178,4127,69,104,66.3,73,4,2866,15702,8383,3588,3266,91.0,60,56
Lazio,25,51.6,7.0,4703,539,1484,2294,1205,174,4385,61,101,60.4,69,3,3051,18174,9566,3651,3282,89.9,95,87
Milan,23,56.9,7.0,4641,445,1408,2295,1235,220,4322,72,112,64.3,73,0,3042,16979,9494,3616,3200,88.5,74,62
Napoli,22,54.7,6.0,4170,321,1057,2186,1226,176,3885,63,93,67.7,65,5,2923,15897,8991,3387,3031,89.5,49,59
Parma,26,42.1,7.0,3748,514,1519,1728,734,107,3397,62,99,62.6,65,2,2168,13235,7756,2770,2351,84.9,70,79
Roma,21,47.5,7.0,4214,436,1283,2154,1077,200,3932,57,100,57.0,65,5,2641,17727,9902,3206,2845,88.7,68,50
Sampdoria,24,42.0,7.0,3831,511,1399,1750,910,118,3503,64,97,66.0,67,5,2370,12809,7247,2845,2356,82.8,88,67
Sassuolo,23,61.9,7.0,5155,559,1686,2618,1167,187,4861,72,112,64.3,80,2,3577,19595,11052,4170,3811,91.4,79,91
Spezia,30,47.9,7.0,3803,489,1301,1914,800,139,3527,53,80,66.3,55,5,2479,13957,7356,2973,2595,87.3,88,81
Torino,22,46.1,7.0,4103,551,1573,1897,861,120,3771,60,123,48.8,67,1,2632,13892,7417,3059,2710,88.6,74,78
Udinese,26,45.9,7.0,3872,365,1206,1870,1073,176,3563,65,95,68.4,67,0,2502,15839,8731,2899,2465,85.0,83,70
