Squad,# Pl,Age,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls_per90,Ast_per90,G_plus_A_per90,G-PK_per90,G_plus_A_PK_per90,xG,npxG,xA,xG_per90,xA_per90,xG_plus_xA_per90,npxG_per90,npxG_plus_xA_per90
Atalanta,23,27.9,54.9,7,77,630,18,15,1,1,14,0,2.57,2.14,4.71,2.43,4.57,13.4,12.7,9.6,1.92,1.38,3.29,1.82,3.20
Benevento,21,29.2,44.1,7,77,630,10,7,0,1,16,1,1.43,1.00,2.43,1.43,2.43,7.9,7.0,4.6,1.13,0.66,1.78,1.00,1.65
Bologna,22,27.5,51.4,7,77,630,11,8,0,0,18,1,1.57,1.14,2.71,1.57,2.71,10.0,10.0,7.6,1.43,1.08,2.52,1.43,2.52
Cagliari,22,25.7,43.7,7,77,630,14,9,1,1,12,0,2.00,1.29,3.29,1.86,3.14,10.2,9.5,6.3,1.46,0.90,2.36,1.35,2.26
Crotone,25,28.7,48.6,7,77,630,6,3,2,2,18,2,0.86,0.43,1.29,0.57,1.00,7.0,5.4,4.2,0.99,0.60,1.60,0.78,1.38
Fiorentina,23,26.8,52.0,7,77,630,10,10,0,0,11,1,1.43,1.43,2.86,1.43,2.86,10.0,10.0,8.4,1.43,1.20,2.63,1.43,2.63
Genoa,26,28.2,45.7,7,77,630,7,7,0,0,15,0,1.00,1.00,2.00,1.00,2.00,5.4,5.4,4.5,0.77,0.64,1.41,0.77,1.41
Hellas Verona,26,25.9,47.0,7,77,630,6,5,0,0,17,0,0.86,0.71,1.57,0.86,1.57,8.2,8.2,6.8,1.17,0.97,2.14,1.17,2.14
Inter,22,29.0,60.9,7,77,630,15,12,0,0,13,1,2.14,1.71,3.86,2.14,3.86,14.9,14.9,12.1,2.13,1.73,3.86,2.13,3.86
Juventus,23,28.2,57.2,7,66,540,12,8,2,2,11,2,2.00,1.33,3.33,1.67,3.00,11.9,10.3,8.5,1.98,1.42,3.40,1.72,3.14
Lazio,25,28.8,51.6,7,77,630,11,6,1,1,22,1,1.57,0.86,2.43,1.43,2.29,10.1,9.4,6.5,1.44,0.93,2.37,1.34,2.27
Milan,23,25.2,56.9,7,77,630,15,8,3,5,16,0,2.14,1.14,3.29,1.71,2.86,16.5,12.5,9.3,2.35,1.32,3.68,1.79,3.11
Napoli,22,27.4,54.7,7,66,540,15,12,0,0,6,0,2.50,2.00,4.50,2.50,4.50,11.3,11.3,8.1,1.88,1.35,3.23,1.88,3.23
Parma,26,29.4,42.1,7,77,630,8,6,1,1,14,1,1.14,0.86,2.00,1.00,1.86,7.8,7.0,5.5,1.11,0.78,1.90,1.00,1.79
Roma,21,28.3,47.5,7,77,630,16,10,3,3,10,0,2.29,1.43,3.71,1.86,3.29,16.7,14.5,11.5,2.38,1.64,4.02,2.07,3.71
Sampdoria,24,28.3,42.0,7,77,630,11,9,1,2,20,1,1.57,1.29,2.86,1.43,2.71,8.7,7.2,6.0,1.25,0.86,2.11,1.03,1.90
Sassuolo,23,27.2,61.9,7,77,630,17,10,3,3,12,0,2.43,1.43,3.86,2.00,3.43,13.1,10.8,8.5,1.87,1.22,3.08,1.54,2.76
Spezia,30,26.2,47.9,7,77,630,11,10,0,0,19,1,1.57,1.43,3.00,1.57,3.00,5.8,5.8,4.5,0.83,0.65,1.47,0.83,1.47
Torino,22,27.4,46.1,7,77,630,11,6,2,2,15,1,1.57,0.86,2.43,1.29,2.14,8.9,7.4,5.2,1.27,0.74,2.01,1.05,1.80
Udinese,26,27.7,45.9,7,77,630,5,3,1,1,11,0,0.71,0.43,1.14,0.57,1.00,9.0,8.3,5.6,1.29,0.79,2.08,1.18,1.98
